,date,Us,Eu,Ch,Kr,Tw
156,2019-03-29 20:20:01,118.819,173.3,181.084,236.81599999999997,259.617
157,2019-03-29 20:40:01,119.28,173.3,180.91400000000002,234.642,259.644
158,2019-03-29 21:00:02,119.734,173.24099999999999,180.80900000000003,232.40099999999998,259.66700000000003
159,2019-03-29 21:20:01,120.12299999999999,173.41400000000002,180.548,230.362,259.625
160,2019-03-29 21:40:02,119.946,173.847,180.378,228.38,259.586
161,2019-03-29 22:00:02,119.662,174.46400000000003,180.043,226.37599999999998,259.586
162,2019-03-29 22:20:01,119.219,174.729,179.778,224.27700000000002,259.589
163,2019-03-29 22:40:01,118.803,174.493,179.523,222.49599999999998,259.592
164,2019-03-29 23:00:01,118.22200000000001,173.852,179.27900000000002,221.28799999999998,259.702
165,2019-03-29 23:20:02,117.686,173.417,179.24400000000003,220.898,259.812
166,2019-03-29 23:40:01,117.294,173.38,179.321,220.52700000000002,259.923
167,2019-03-30 00:00:01,116.965,173.52599999999998,180.16,220.636,260.077
168,2019-03-30 00:20:01,116.64399999999999,173.57,181.17700000000002,221.095,260.231
169,2019-03-30 00:40:01,116.291,173.62,182.36900000000003,222.079,260.385
170,2019-03-30 01:00:01,115.999,173.517,183.644,223.162,260.145
171,2019-03-30 01:20:02,115.814,173.21599999999998,184.97299999999998,224.324,259.797
172,2019-03-30 01:40:01,115.57799999999999,173.03,186.22,225.581,259.341
173,2019-03-30 02:00:02,115.52600000000001,172.832,187.28900000000002,226.93900000000002,259.405
174,2019-03-30 02:20:02,115.588,172.68099999999998,187.757,228.44400000000002,259.534
175,2019-03-30 02:40:01,115.749,172.234,187.199,230.035,259.728
176,2019-03-30 03:00:01,115.98100000000001,172.234,186.39,231.676,259.51099999999997
177,2019-03-30 03:20:01,116.485,171.963,185.865,233.425,259.29400000000004
178,2019-03-30 03:40:01,116.904,171.845,186.18200000000002,235.28400000000002,259.186
179,2019-03-30 04:00:01,117.212,171.791,186.391,236.799,259.01099999999997
